ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,peTTM,pbMRQ,psTTM,pcfNcfTTM
600519.SH,20040102,25.01,25.48,25.0,25.19,25.4,-0.21,-0.83,6513.76,16401.867,18.054773,2.376172,3.765263,339.434551
600519.SH,20040105,25.1,26.45,25.1,26.4,25.19,1.21,4.8,8539.75,22096.848,18.922033,2.490311,3.946127,355.739268
600519.SH,20040106,26.5,27.18,26.5,26.96,26.4,0.56,2.12,9467.36,25293.426,19.323409,2.543136,4.029833,363.285252
600519.SH,20040107,26.87,27.18,26.33,26.95,26.96,-0.01,-0.04,11336.19,30614.269,19.316242,2.542192,4.028338,363.150502
600519.SH,20040108,27.0,27.48,26.88,27.42,26.95,0.47,1.74,8607.42,23401.787,19.653111,2.586527,4.098591,369.483739
600519.SH,20040109,27.5,27.5,26.05,26.21,27.42,-1.21,-4.41,8821.59,23829.502,18.785852,2.472388,3.917727,353.179023
600519.SH,20040112,26.0,26.6,25.83,26.53,26.21,0.32,1.22,6490.72,16933.81,19.015210,2.502574,3.965559,357.491014
600519.SH,20040113,26.8,27.68,26.8,27.6,26.53,1.07,4.03,13421.21,36807.002,19.782125,2.603507,4.125496,371.909234
600519.SH,20040114,27.6,29.15,27.37,28.87,27.6,1.27,4.6,25095.74,71681.04,20.692390,2.723306,4.315329,389.022449
600519.SH,20040115,28.5,28.91,28.01,28.28,28.87,-0.59,-2.04,10170.93,29112.473,20.269511,2.667651,4.227139,381.072215
600519.SH,20040116,28.12,28.85,28.0,28.49,28.28,0.21,0.74,7407.55,21179.706,20.420027,2.687460,4.258529,383.901960
600519.SH,20040129,28.0,29.02,28.0,28.96,28.49,0.47,1.65,5353.72,15425.466,20.756897,2.731795,4.328782,390.235197
600519.SH,20040130,28.94,29.05,28.1,28.12,28.96,-0.84,-2.9,7785.23,22429.306,20.154832,2.652558,4.203223,378.916220
600519.SH,20040202,28.5,29.35,28.3,28.92,28.12,0.8,2.85,31304.94,90694.934,20.728227,2.728022,4.322803,389.696198
600519.SH,20040203,29.0,29.16,28.72,29.0,28.92,0.08,0.28,8127.68,23508.437,20.785566,2.735569,4.334761,390.774195
600519.SH,20040204,29.0,29.15,28.8,28.99,29.0,-0.01,-0.03,8646.39,25042.786,20.778399,2.734625,4.333266,390.639446
600519.SH,20040205,28.88,28.99,28.1,28.19,28.99,-0.8,-2.76,9256.63,26274.156,20.205004,2.659161,4.213686,379.859468
600519.SH,20040206,28.0,28.6,27.66,27.83,28.19,-0.36,-1.28,12925.87,36392.591,19.946976,2.625203,4.159876,375.008478
600519.SH,20040209,27.88,28.39,27.68,28.14,27.83,0.31,1.11,5778.36,16136.748,20.169167,2.654445,4.206213,379.185719
600519.SH,20040210,28.18,28.29,27.72,27.77,28.14,-0.37,-1.31,2891.39,8054.689,19.903972,2.619543,4.150907,374.199980
600519.SH,20040211,28.0,28.0,27.4,27.62,27.77,-0.15,-0.54,4488.03,12391.205,19.796460,2.605393,4.128486,372.178734
600519.SH,20040212,27.69,28.2,27.5,27.64,27.62,0.02,0.07,2231.03,6196.653,19.810795,2.607280,4.131475,372.448233
600519.SH,20040213,27.7,28.1,27.56,27.89,27.64,0.25,0.9,2531.39,7068.284,19.989981,2.630862,4.168844,375.816976
600519.SH,20040216,27.89,28.7,27.89,28.65,27.89,0.76,2.73,4081.51,11599.148,20.534706,2.702553,4.282445,386.057955
600519.SH,20040217,28.75,28.75,28.51,28.54,28.65,-0.11,-0.38,7236.31,20708.523,20.455864,2.692177,4.266003,384.575708
600519.SH,20040218,28.54,29.45,28.24,29.09,28.54,0.55,1.93,9703.85,28085.541,20.850073,2.744058,4.348213,391.986943
600519.SH,20040219,29.1,29.15,28.68,28.8,29.09,-0.29,-1.0,6155.35,17792.327,20.642218,2.716703,4.304866,388.079201
600519.SH,20040220,28.61,28.88,28.42,28.73,28.8,-0.07,-0.24,3256.02,9294.561,20.592046,2.710100,4.294403,387.135953
600519.SH,20040223,28.95,28.98,27.92,28.0,28.73,-0.73,-2.54,4234.26,11943.403,20.068823,2.641239,4.185286,377.299223
600519.SH,20040224,27.88,28.39,27.56,28.23,28.0,0.23,0.82,8245.4,22993.324,20.233674,2.662935,4.219665,380.398467
600519.SH,20040225,28.25,28.75,27.3,27.32,28.23,-0.91,-3.22,5595.68,15651.947,19.581437,2.577094,4.083644,368.136242
600519.SH,20040226,27.4,28.28,27.2,28.25,27.32,0.93,3.4,10313.48,28613.246,20.248009,2.664821,4.222655,380.667966
600519.SH,20040227,28.28,28.42,27.75,28.4,28.25,0.15,0.53,4431.37,12479.813,20.355520,2.678971,4.245076,382.689212
600519.SH,20040301,28.35,28.58,28.01,28.53,28.4,0.13,0.46,2938.33,8324.629,20.448697,2.691234,4.264508,384.440959
600519.SH,20040302,28.2,31.38,28.2,31.13,28.53,2.6,9.11,25187.62,75299.463,22.312230,2.936491,4.653141,419.475886
600519.SH,20040303,31.18,31.6,30.39,30.69,31.13,-0.44,-1.41,24661.23,76280.342,21.996863,2.894986,4.587373,413.546899
600519.SH,20040304,30.58,30.8,30.26,30.52,30.69,-0.17,-0.55,5718.29,17429.571,21.875017,2.878950,4.561962,411.256153
600519.SH,20040305,30.6,31.2,30.3,30.62,30.52,0.1,0.33,4117.31,12628.392,21.946691,2.888383,4.576909,412.603651
600519.SH,20040308,30.6,31.0,29.7,30.09,30.62,-0.53,-1.73,6327.55,19124.563,21.566817,2.838388,4.497688,405.461915
600519.SH,20040309,30.1,30.3,29.75,29.9,30.09,-0.19,-0.63,4492.14,13474.582,21.430636,2.820466,4.469288,402.901671
600519.SH,20040310,29.72,30.4,29.72,30.34,29.9,0.44,1.47,3116.77,9368.573,21.746003,2.861971,4.535057,408.830658
600519.SH,20040311,30.0,30.9,30.0,30.89,30.34,0.55,1.81,6966.95,21204.913,22.140212,2.913852,4.617268,416.241893
600519.SH,20040312,31.99,33.3,31.55,32.7,30.89,1.81,5.86,37852.09,123629.708,23.437518,3.084589,4.887816,440.631593
600519.SH,20040315,32.65,33.5,32.4,33.42,32.7,0.72,2.2,18985.72,62741.21,23.953573,3.152507,4.995438,450.333573
600519.SH,20040316,33.42,35.44,33.11,34.91,33.42,1.49,4.46,30957.61,106413.222,25.021522,3.293059,5.218155,470.411282
600519.SH,20040317,34.8,35.25,34.31,34.91,34.91,0.0,0.0,13411.2,46683.001,25.021522,3.293059,5.218155,470.411282
600519.SH,20040318,34.91,35.3,34.7,34.97,34.91,0.06,0.17,15703.8,55053.859,25.064526,3.298718,5.227124,471.219780
600519.SH,20040319,34.91,35.32,34.6,34.87,34.97,-0.1,-0.29,14743.95,51625.581,24.992852,3.289285,5.212176,469.872283
600519.SH,20040322,35.0,35.18,34.5,34.52,34.87,-0.35,-1.0,10206.25,35526.463,24.741991,3.256270,5.159860,465.156042
600519.SH,20040323,34.33,34.5,33.54,33.81,34.52,-0.71,-2.06,13909.74,47091.718,24.233103,3.189296,5.053733,455.588812
600519.SH,20040324,33.7,35.2,33.58,35.05,33.81,1.24,3.67,13295.74,46222.27,25.121866,3.306265,5.239082,472.297778
600519.SH,20040325,34.85,35.2,33.9,34.06,35.05,-0.99,-2.82,14931.38,51190.803,24.412289,3.212878,5.091102,458.957555
600519.SH,20040326,34.5,34.87,33.15,34.73,34.06,0.67,1.97,17415.46,59748.602,17.905179,3.054780,4.375571,18.769126
600519.SH,20040329,34.73,35.55,34.2,34.28,34.73,-0.45,-1.3,11281.75,39480.878,17.673180,3.015199,4.318877,18.525933
