,year,up_count,down_count,up_ratio,down_ratio
0,2004,129,113,0.5330578512396694,0.4669421487603306
1,2005,128,113,0.5311203319502075,0.46887966804979253
2,2006,103,84,0.5508021390374331,0.44919786096256686
3,2007,122,115,0.5147679324894515,0.48523206751054854
4,2008,105,140,0.42857142857142855,0.5714285714285714
5,2009,126,117,0.5185185185185185,0.48148148148148145
6,2010,126,114,0.525,0.475
7,2011,125,118,0.51440329218107,0.48559670781893005
8,2012,127,113,0.5291666666666667,0.4708333333333333
9,2013,114,124,0.4789915966386555,0.5210084033613446
10,2014,130,115,0.5306122448979592,0.46938775510204084
11,2015,122,122,0.5,0.5
12,2016,128,116,0.5245901639344263,0.47540983606557374
13,2017,136,108,0.5573770491803278,0.4426229508196721
14,2018,115,128,0.4732510288065844,0.5267489711934157
15,2019,128,116,0.5245901639344263,0.47540983606557374
16,2020,131,112,0.5390946502057613,0.4609053497942387
17,2021,124,119,0.5102880658436214,0.4897119341563786
18,2022,113,129,0.4669421487603306,0.5330578512396694
19,2023,115,127,0.47520661157024796,0.5247933884297521
20,2024,103,138,0.42738589211618255,0.5726141078838174
