,year,avg(vol)
0,2004,8006.78574380165
1,2005,6131.092987551865
2,2006,28499.648181818182
3,2007,27089.247510548543
4,2008,14270.06742857143
5,2009,30302.31473251029
6,2010,33346.045999999995
7,2011,29357.206831275715
8,2012,30907.099875000007
9,2013,41250.23436974788
10,2014,37873.01604081634
11,2015,54726.27590163936
12,2016,29715.0806557377
13,2017,37519.360532786886
14,2018,44652.347489711945
15,2019,39788.69245901641
16,2020,36112.79596707822
17,2021,41679.62148148147
18,2022,33854.33698347108
19,2023,23254.32214876033
20,2024,33627.86954356846
